ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,latitude,longitude
6723,retained,121,97,193.0569446,473,34,24,4344.360643,2264.211324,27,20,Android,3.158304514177333,101.69446527880224
6473,churned,120,96,158.7964088,1723,104,0,1233.677809,731.9878865,3,3,iPhone,3.161776524795426,101.65997538367274
4679,retained,204,165,211.0820385,2310,170,20,2958.016519,657.4313316,18,10,iPhone,3.1405226710767953,101.67120629133004
862,retained,87,70,127.3060827,106,108,19,5573.351001,4584.1284,1,0,iPhone,3.1312865480575622,101.68170413051836
7286,retained,113,93,370.9965275,2102,206,0,3122.866151,1457.542395,27,24,iPhone,3.1268838285169127,101.73608462410435
8127,,6,6,63.78096189,1355,400,18,519.2568599,178.5439675,10,9,Android,3.128079710060301,101.71832388881698
3017,retained,15,12,159.7784258,1686,0,6,2681.414047,2016.577593,9,4,iPhone,3.154805266367625,101.68696571468831
3087,churned,9,9,100.8076055,208,0,0,9781.420639,6152.039353,3,2,iPhone,3.1596324622574326,101.71288939098388
6425,retained,39,32,164.7631966,2617,96,0,4366.504571,3481.722368,9,5,iPhone,3.1361423405442403,101.6792083409912
2250,retained,76,61,190.0865686,1354,21,0,1545.662121,591.8216408,2,2,Android,3.1654288548047065,101.65911429267283
542,churned,180,145,368.4571855,2279,24,60,3944.817609,1056.098466,10,6,Android,3.1426499862222537,101.69438984606228
9293,retained,86,76,124.020674,3335,0,133,4899.525513,1460.957224,28,18,Android,3.15201871354773,101.66071629557686
11723,retained,106,85,220.8662541,1669,19,0,2511.071356,1057.194864,17,16,Android,3.1391017471623046,101.67680047739023
4923,retained,121,97,255.6221759,2941,42,2,11320.05581,4265.46836,28,24,iPhone,3.14102263570723,101.7201254002451
12070,retained,50,41,64.94887175,871,29,278,4115.228643,3347.377653,23,23,iPhone,3.142039763179822,101.70452456784392
10602,retained,59,49,135.8325976,545,0,0,7248.029039,3424.457465,22,22,iPhone,3.1382267045064154,101.66890886657418
